tweet_id,airline_sentiment,airline,name,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,,,,,,
567774437673603072,negative,United,kristofurmac,0,@united no they were to busy taking to each other and I needed to get to an audition.,,2015-02-17 11:55:49 -0800,LA,,,,,,,
568032561462689792,neutral,US Airways,MiddleSeatView,0,"@USAirways if there are empty first class seats on my flight at check in, why wouldn't I be automatically upgraded?",,2015-02-18 05:01:30 -0800,"Washington, D.C.",Atlantic Time (Canada),,,,,,
568445415768477696,positive,Southwest,Omnicom,0,@SouthwestAir @FortuneMagazine Congrats!,,2015-02-19 08:22:02 -0800,Worldwide,Atlantic Time (Canada),,,,,,
569978315072610304,neutral,American,DigitalEdMom,0,@AmericanAir 3127. Just landed in LIT.,,2015-02-23 13:53:14 -0800,Wisconsin,Central Time (US & Canada),,,,,,
569720969947848704,negative,American,OnePoundOne,0,@AmericanAir @ArminRosen @ggreenwald Tell that piece of shit to get fucked... I'll fly exclusively with you for life...,,2015-02-22 20:50:38 -0800,Chicago,,,,,,,
570211313072238592,neutral,United,BouleChitte,0,@united how about 3659 YUL-ORD?,,2015-02-24 05:19:05 -0800,,,,,,,,
569301593587208192,neutral,Delta,dcoadavon,0,"@JetBlue Have a cup coffee and relax while you check out the New Deals and Promotions at Avon, twice a month at Doug @dcoadavon",,2015-02-21 17:04:11 -0800,San Diego,,,,,,,
569950510981083136,negative,American,CraigPokorny,0,@AmericanAir Your people on the phone can't see those? And to have it be over $800 difference. That's a poor process then...,,2015-02-23 12:02:45 -0800,"Bennington, NE",Central Time (US & Canada),,,,,,
568816016622354432,neutral,Delta,paupaucda,0,@JetBlue I did. They said not as of now. Let's cross fingers it happens before departing,,2015-02-20 08:54:41 -0800,,Pacific Time (US & Canada),,,,,,
567735766416392192,positive,Southwest,andicrawford,0,.@SouthwestAir you've got a mess here at DTW but your staff is doing great.,,2015-02-17 09:22:09 -0800,Michigan,Eastern Time (US & Canada),,,,,,
569679274535362560,negative,American,derekc21,0,"@AmericanAir @derekc21 , to my surprise  BA doesn't  have  me registered in the system , I was getting hopeful :(, Lets step it up , Okay ?",,2015-02-22 18:04:57 -0800,"Innisfail, Alberta",Mountain Time (US & Canada),,,,,,
567752009806131200,negative,Southwest,jonw4570,0,@SouthwestAir no had to rebook my flight myself and am about to board in bham.,,2015-02-17 10:26:42 -0800,"Huntsville, AL",Central Time (US & Canada),,,,,,
569619861879590912,negative,US Airways,CMocz,0,"@USAirways 24 hrs Late Flightr still not home. Hotel, rental car etc with a 5 yr old, what happened to ""customer service is our first priority""",,2015-02-22 14:08:52 -0800,,,,,,,,
568434307989159936,negative,Delta,MikeH1123,0,@JetBlue My Flight 1318 is delayed and I am connecting from Boston. Is it possible to switch me to Flight 118 so I can make my connection?,,2015-02-19 07:37:54 -0800,"Brooklyn, NY",America/Atikokan,,,,,,
569695198239793152,neutral,United,HargobindV,0,@united Can you tell me Jet Airways award availability?,,2015-02-22 19:08:14 -0800,"Kansas City, Missouri",Central Time (US & Canada),,,,,,
569925362471211008,negative,American,nmatasci,0,"@AmericanAir follows the Talent PM of #BDSM porn site http://t.co/UQGW6qsFFU. New ""Economy Dungeon"" class coming? http://t.co/pl9Sop5IHu",,2015-02-23 10:22:49 -0800,"Los Angeles, California",Pacific Time (US & Canada),,,,,,
568244663154393088,negative,United,Atrain_8,3,"@united you're missin the point! There was no ""weather"". You're lying! Seats was broken. But u claim ""weather"" to get out of hotels. Classy",,2015-02-18 19:04:19 -0800,,,,,,,,
570249680535339008,neutral,United,screamingbrat,0,@united Thank you.,,2015-02-24 07:51:33 -0800,"new york, baby",Eastern Time (US & Canada),,,,,,
569731104070115328,positive,Southwest,JasmineDT,1,@SouthwestAir you're my early frontrunner for best airline! #oscars2016,,2015-02-22 21:30:54 -0800,Washington D.C. ,Eastern Time (US & Canada),,,,,,
